	P.iso	P.Time.point	P.cID	P.Rep	P.daynumber	P.trt
1	2	3	NL2	1	9	N
2	3	3	NL2	2	9	N
3	4	5	NL2	2	23	N
4	5	5	NL2	2	23	N
5	6	5	NL2	3	23	N
6	7	12	NL2	1	72	N
7	8	12	NL2	2	72	N
8	9	12	NL2	3	72	N
9	10	12	NL2	4	72	N
10	11	12	NL2	5	72	N
11	12	19	NL2	1	129	N
12	13	19	NL2	3	129	N
13	14	21	NL2	1	166	N
14	15	21	NL2	2	166	N
15	16	21	NL2	3	166	N
16	17	21	NL2	4	166	N
17	18	3	NL3	1	9	N
18	19	3	NL3	2	9	N
19	20	5	NL3	1	23	N
20	21	5	NL3	2	23	N
21	22	5	NL3	3	23	N
22	23	12	NL3	1	72	N
23	24	12	NL3	4	72	N
24	25	19	NL3	1	129	N
25	26	19	NL3	2	129	N
26	27	19	NL3	3	129	N
27	28	19	NL3	4	129	N
28	29	21	NL3	1	166	N
29	30	21	NL3	2	166	N
30	31	21	NL3	3	166	N
31	32	21	NL3	4	166	N
32	33	3	NL5	1	9	N
33	34	3	NL5	2	9	N
34	35	5	NL5	1	23	N
35	36	5	NL5	2	23	N
36	37	5	NL5	3	23	N
37	38	12	NL5	1	72	N
38	39	12	NL5	2	72	N
39	40	12	NL5	3	72	N
40	41	12	NL5	4	72	N
41	42	12	NL5	5	72	N
42	43	19	NL5	1	129	N
43	44	19	NL5	2	129	N
44	45	19	NL5	3	129	N
45	46	19	NL5	4	129	N
46	47	3	PL2	1	9	P
47	48	3	PL2	2	9	P
48	49	5	PL2	1	23	P
49	50	5	PL2	2	23	P
50	51	5	PL2	3	23	P
51	52	12	PL2	1	72	P
52	53	12	PL2	2	72	P
53	54	12	PL2	3	72	P
54	55	12	PL2	4	72	P
55	56	12	PL2	5	72	P
56	57	19	PL2	1	129	P
57	58	19	PL2	3	129	P
58	59	19	PL2	4	129	P
59	60	21	PL2	1	166	P
60	61	21	PL2	2	166	P
61	62	21	PL2	3	166	P
62	63	21	PL2	4	166	P
63	64	3	PL4	1	9	P
64	65	3	PL4	2	9	P
65	66	5	PL4	1	23	P
66	67	5	PL4	2	23	P
67	68	5	PL4	3	23	P
68	69	12	PL4	1	72	P
69	70	12	PL4	2	72	P
70	71	12	PL4	3	72	P
71	72	12	PL4	4	72	P
72	73	12	PL4	5	72	P
73	74	19	PL4	1	129	P
74	75	19	PL4	2	129	P
75	76	19	PL4	3	129	P
76	77	19	PL4	4	129	P
77	78	21	PL4	1	166	P
78	79	21	PL4	2	166	P
79	80	21	PL4	3	166	P
80	81	21	PL4	4	166	P
81	82	3	PL5	1	9	P
82	83	5	PL5	1	23	P
83	84	5	PL5	2	23	P
84	85	5	PL5	3	23	P
85	86	12	PL5	1	72	P
86	87	12	PL5	4	72	P
87	88	12	PL5	5	72	P
88	89	19	PL5	1	129	P
89	90	19	PL5	2	129	P
90	91	19	PL5	3	129	P
91	92	19	PL5	4	129	P
92	93	21	PL5	1	166	P
93	94	21	PL5	2	166	P
94	95	21	PL5	3	166	P
95	96	21	PL5	4	166	P
