,,,,,iso,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
,,,,,Time point,1,1,1,3,3,3,5,5,12,12,12,19,3,19,19,12,12,16,1,1,3,3,3,3,3,5,5,5,12,12,12,12,16,19,5,16,16,16,16,1,1,1,3,12,16,16,16,19,3,3,21,21,1,1,1,1,1,3,3,3,5,5,5,5,12,12,12,12,16,16,16,16,19,16,21,21,1,1,1,1,5,5,5,12,12,12,12,12,16,16,16,16,16,21,21,21,1,3,3,5,12,12,12,16,16,16,19,19,19,16,16,5,21,21,21,3
,,,,,cID,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL2,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL3,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,NL5,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL2,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL4,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5,PL5
,,,,,Rep,1,3,4,3,4,5,4,5,1,3,5,2,1,3,1,2,4,1,2,3,1,2,3,4,5,2,3,4,1,2,3,4,4,4,4,1,2,3,5,1,3,4,2,4,1,4,5,5,4,1,3,5,1,2,3,4,5,2,3,4,1,2,3,5,1,2,3,4,1,2,3,5,2,4,5,2,2,3,4,5,1,4,5,1,2,3,4,5,5,3,4,1,2,2,2,4,1,3,5,4,2,4,5,1,2,3,2,3,5,4,5,2,1,2,5,4
,,,,,daynumber,-6,-6,-6,9,9,9,23,23,72,72,72,129,9,129,129,72,72,100,-6,-6,9,9,9,9,9,23,23,23,72,72,72,72,100,129,23,100,100,100,100,-6,-6,-6,9,72,100,100,100,129,9,9,166,166,-6,-6,-6,-6,-6,9,9,9,23,23,23,23,72,72,72,72,100,100,100,100,129,100,166,166,-6,-6,-6,-6,23,23,23,72,72,72,72,72,100,100,100,100,100,166,166,166,-6,9,9,23,72,72,72,100,100,100,129,129,129,100,100,23,166,166,166,9
iso,Time point,cID,Rep,daynumber,trt,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
1,0,RIM8-1,1,0,NA,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2,3,NL2,1,9,N,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
3,3,NL2,2,9,N,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
4,5,NL2,2,23,N,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
5,5,NL2,2,23,N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,5,NL2,3,23,N,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
7,12,NL2,1,72,N,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
