"","-6","9","23","72","100","129"
"9",0.875,1,1,0.375,1,1
"23",0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667
"72",0.75,0.96,0.85,0.35,0.8,0.75
"129",0.75,1,0.875,0.25,0.5,0.75
"166",1,1,1,0.5,0.75,0.9375
