"P.trt","P.lim","P.daynumber","P.Time.point","P.cID","P.Rep","B.trt","B.lim","B.daynumber","B.Time.point","B.cID","B.Rep","infectivity"
NA,NA,"0","0","RIM8-1","1","C","N","-6","1","NL1","5",1
"T","N","9","3","NL2","1","C","N","-6","1","NL1","5",1
"T","N","9","3","NL2","2","C","N","-6","1","NL1","5",1
"T","N","9","3","NL3","1","C","N","-6","1","NL1","5",1
"T","N","9","3","NL3","2","C","N","-6","1","NL1","5",1
"T","N","9","3","NL5","1","C","N","-6","1","NL1","5",1
"T","N","9","3","NL5","2","C","N","-6","1","NL1","5",1
"T","N","23","5","NL2","2","C","N","-6","1","NL1","5",1
"T","N","23","5","NL2","2","C","N","-6","1","NL1","5",0
"T","N","23","5","NL2","3","C","N","-6","1","NL1","5",1
"T","N","23","5","NL3","1","C","N","-6","1","NL1","5",1
"T","N","23","5","NL3","2","C","N","-6","1","NL1","5",1
"T","N","23","5","NL3","3","C","N","-6","1","NL1","5",0
"T","N","23","5","NL5","1","C","N","-6","1","NL1","5",1
"T","N","23","5","NL5","2","C","N","-6","1","NL1","5",1
"T","N","23","5","NL5","3","C","N","-6","1","NL1","5",0
"T","N","72","12","NL2","1","C","N","-6","1","NL1","5",1
"T","N","72","12","NL2","2","C","N","-6","1","NL1","5",1
"T","N","72","12","NL2","3","C","N","-6","1","NL1","5",1
"T","N","72","12","NL2","4","C","N","-6","1","NL1","5",1
"T","N","72","12","NL2","5","C","N","-6","1","NL1","5",0
"T","N","72","12","NL3","1","C","N","-6","1","NL1","5",0
"T","N","72","12","NL3","4","C","N","-6","1","NL1","5",1
"T","N","72","12","NL5","1","C","N","-6","1","NL1","5",0
"T","N","72","12","NL5","2","C","N","-6","1","NL1","5",1
"T","N","72","12","NL5","3","C","N","-6","1","NL1","5",1
"T","N","72","12","NL5","4","C","N","-6","1","NL1","5",0
"T","N","72","12","NL5","5","C","N","-6","1","NL1","5",1
"T","N","129","19","NL2","1","C","N","-6","1","NL1","5",0
