"","-6","9","23","72","100","129"
"9",1,1,1,0.5,0.5,1
"23",0.416666666666667,0.666666666666667,0.583333333333333,0.166666666666667,0.666666666666667,0.583333333333333
"72",0.625,0.9,0.625,0.25,0.5,0.375
"129",0.25,0.3,0.25,0.0625,0,0.4375
"166",0.5625,0.7,0.6875,0.25,0.5,0.8125
