"day","lim","cID","Phage","Syn","pst1","day.num"
"65","P","PL2",210900715.145714,4874340.32,43.27,65
"67","P","PL2",210900715.145714,3168908.95,66.55,67
"70","P","PL2",360177237.067143,934019.995,385.62,70
"72","P","PL2",162976431.874286,853858.516666667,190.87,72
"74","P","PL2",77728784.5285714,1345509.36428571,57.77,74
"77","P","PL2",213313863.685,533559.534375,399.79,77
"79","P","PL2",149153747.6975,496641.99,300.32,79
"81","P","PL2",160948540.3825,498181.314285714,323.07,81
"84","P","PL2",81403544.0585714,1378967.40454545,59.03,84
"86","P","PL2",77723139.7366667,1354700.78409091,57.37,86
"88","P","PL2",155446279.473333,1164129.89318182,133.53,88
"91","P","PL2",108543703.536667,2080695.73181818,52.17,91
"93","P","PL2",29160994.98,823328.585,35.42,93
"95","P","PL2",125574040.713333,846437.531818182,148.36,95
"98","P","PL2",215230270.536667,922510.0475,233.31,98
"100","P","PL2",91276285.1,1080710.6025,84.46,100
"102","P","PL2",219110500.492,1160790.45,188.76,102
"105","P","PL2",239778059.3325,1555067.375,154.19,105
"107","P","PL2",280230049.32,1644759.253125,170.38,107
"109","P","PL2",319704079.11,1280175.54375,249.73,109
"112","P","PL2",61700397.915,2053729.728125,30.04,112
"114","P","PL2",166976331.418,2983840.18928571,55.96,114
"117","P","PL2",233050878.58,5362096.21071429,43.46,117
"119","P","PL2",113265571.965,5266658.105,21.51,119
"121","P","PL2",287698109.01,5496612.1625,52.34,121
"125","P","PL2",70223469.212,10084673.15,6.96,125
"129","P","PL2",83002149.126,7149636.5375,11.61,129
"131","P","PL2",99716377.956,11992385.725,8.31,131
"135","P","PL2",156592172.23,5194169.925,30.15,135
"144","P","PL2",174610347.99,34520046.8,5.06,144
"146","P","PL2",187442371.1875,153895344.85,1.22,146
"149","P","PL2",237940679.5675,46176929.8,5.15,149
"156","P","PL2",NA,47794852.9166667,NA,156
"158","P","PL2",NA,37458348.6458333,NA,158
"160","P","PL2",NA,85778700.0520833,NA,160
"166","P","PL2",NA,74192631.8,NA,166
"2","P","PL4",2299688.222,31571541.1,0.07,2
"4","P","PL4",68943230.408,16019234.7333333,4.3,4
"7","P","PL4",127794701.848667,8607155.06666667,14.85,7
"9","P","PL4",272817308.590667,13883772.1333333,19.65,9
"11","P","PL4",280294707.845455,10661639.88,26.29,11
"14","P","PL4",209437585.084,22341542.775,9.37,14
"16","P","PL4",224352959.85375,17311450.825,12.96,16
"18","P","PL4",432924326.716471,7395753.5,58.54,18
"21","P","PL4",624531309.155,4900298.925,127.45,21
"23","P","PL4",307273118.377333,2333825.525,131.66,23
"25","P","PL4",370429752.304918,1591189.01875,232.8,25
"28","P","PL4",375554952.86,3503799.44375,107.19,28
"30","P","PL4",336673626.22,2706062.125,124.41,30
"32","P","PL4",606946262.62,2845650.85,213.29,32
"35","P","PL4",428843525.3,2691368.575,159.34,35
"37","P","PL4",450746186.32,4465002.50625,100.95,37
"39","P","PL4",304089045.212727,879164.075,345.88,39
"42","P","PL4",94030075.12,468969.1375,200.5,42
"44","P","PL4",113762530.76,403170.389473684,282.17,44
"46","P","PL4",239962709.16,1128546.27083333,212.63,46
"49","P","PL4",363992682.18,423664.025,859.15,49
"51","P","PL4",290059803.1,330218.202631579,878.39,51
"53","P","PL4",339135623.92,473396.040384615,716.39,53
"56","P","PL4",135336925.42,1770007.63846154,76.46,56
"58","P","PL4",92072200.7585714,1628535.125,56.54,58
"60","P","PL4",105224565.896667,482438.225,218.11,60
"63","P","PL4",81457169.5816667,297911.72625,273.43,63
"65","P","PL4",115678720.504286,484887.15,238.57,65
"67","P","PL4",115678720.504286,1422580.5325,81.32,67
"70","P","PL4",171612963.488571,524559.735,327.16,70
"72","P","PL4",118371286.242857,1329521.3825,89.03,72
"74","P","PL4",173560416.695714,2026730.33,85.64,74
"77","P","PL4",208275886.91,2163380.345,96.27,77
"79","P","PL4",78518349.79625,3498534.255,22.44,79
"81","P","PL4",160296566.9175,3211823.4452381,49.91,81
"84","P","PL4",160852159.374775,3471409.4952381,46.34,84
"86","P","PL4",22463449.385,5967127.98947368,3.76,86
"88","P","PL4",291002429.07125,9192914.60357143,31.66,88
"91","P","PL4",232798979.74125,8808083.53214286,26.43,91
"93","P","PL4",335865118.333333,10273240.375,32.69,93
"95","P","PL4",280842509.241667,7877701.94,35.65,95
"98","P","PL4",385454615.216667,8863639.145,43.49,98
"100","P","PL4",122926633.31,8028065.935,15.31,100
"102","P","PL4",143031124.158,7745949.775,18.47,102
"105","P","PL4",152917412.7,8715234.29,17.55,105
"107","P","PL4",428791093.8675,7262531.98,59.04,107
"109","P","PL4",408965173.5,12442987.925,32.87,109
"112","P","PL4",241763614.885,10805881.5625,22.37,112
"114","P","PL4",NA,NA,NA,114
"117","P","PL4",210172536.99,37463654.65,5.61,117
"119","P","PL4",186899059.966667,29680971,6.3,119
"121","P","PL4",163467528.77,22241136.85,7.35,121
"125","P","PL4",149835356.32,25826363.05,5.8,125
"129","P","PL4",50063659.4033333,22270523.95,2.25,129
"131","P","PL4",70432890.9916667,26898992.2,2.62,131
"135","P","PL4",200274394.385,33040896.1,6.06,135
"144","P","PL4",333336251.56,28794460.15,11.58,144
"146","P","PL4",745959250.214286,52700866,14.15,146
"149","P","PL4",378302663.873333,14948238.2,25.31,149
"156","P","PL4",NA,25230730.0694444,NA,156
"158","P","PL4",NA,17523418.8888889,NA,158
"160","P","PL4",NA,29101392.0833333,NA,160
"166","P","PL4",NA,19439566.65,NA,166
"2","P","PL5",1841331.11933333,9874065.6,0.19,2
"4","P","PL5",24537910.41,9854474.2,2.49,4
"7","P","PL5",145083194.175111,6452101.06666667,22.49,7
"9","P","PL5",254601565.114,15261700.6,16.68,9
"11","P","PL5",244581648.952727,14192010.16,17.23,11
"14","P","PL5",293204860.094546,14749875.275,19.88,14
"16","P","PL5",274451193.6075,9499380.075,28.89,16
"18","P","PL5",448543797.963529,7706766.975,58.2,18
"21","P","PL5",859404749.92125,8870006.35,96.89,21
"23","P","PL5",383290667.637647,14999665.625,25.55,23
"25","P","PL5",496143339.677143,16011071.65,30.99,25
"28","P","PL5",511493699.94,11588313.1,44.14,28
"30","P","PL5",356807296.3,12114831.975,29.45,30
"32","P","PL5",507007393.02,8336140.7,60.82,32
"35","P","PL5",544283861.9,9207958,59.11,35
"37","P","PL5",513919223.6,39650544.675,12.96,37
"39","P","PL5",547808580.492727,4525613.4,121.05,39
"42","P","PL5",274726377.212857,5492938.775,50.01,42
"44","P","PL5",190748808.045714,8086350.35,23.59,44
"46","P","PL5",473840766.861429,4639896.56666667,102.12,46
"49","P","PL5",850706831.195,3307681.36666667,257.19,49
"51","P","PL5",501090999.781667,4713690.84,106.31,51
"53","P","PL5",449170203.841667,7045067.44,63.76,53
"56","P","PL5",582212304.245,6669892.13,87.29,56
"58","P","PL5",470453891.718571,5916602.8,79.51,58
"60","P","PL5",525194261.215,7262531.98,72.32,60
"63","P","PL5",451054999.858667,2751612.13,163.92,63
"65","P","PL5",189834351.757143,6354470.59,29.87,65
"67","P","PL5",189834351.757143,2880915.37,65.89,67
"70","P","PL5",219113887.367143,1673105.56,130.96,70
"72","P","PL5",198809570.885714,1299889.39,152.94,72
"74","P","PL5",76475640.7257143,499580.7,153.08,74
"77","P","PL5",176610721.12125,713453.483333333,247.54,77
"79","P","PL5",80089013.14375,627537.03125,127.62,79
"81","P","PL5",159807586.81875,592095.644444444,269.9,81
"84","P","PL5",231679194.147143,1239400.9425,186.93,84
"86","P","PL5",233228689.525,740663.761111111,314.89,86
"88","P","PL5",334067252.111667,560417.152631579,596.1,88
"91","P","PL5",492812912.453333,630533.742105263,781.58,91
"93","P","PL5",442796669.302,393297.355,1125.86,93
"95","P","PL5",183998765.886,665862.7075,276.33,95
"98","P","PL5",403887683.181667,1513190.7575,266.91,98
"100","P","PL5",312097722.018333,1137770.555,274.31,100
"102","P","PL5",283051316.314,1900093.69722222,148.97,102
"105","P","PL5",NA,NA,NA,105
"107","P","PL5",257648059.305,1000079.746875,257.63,107
"109","P","PL5",203089734.3475,1032834.11875,196.63,109
"112","P","PL5",130483598.4725,464377.403125,280.99,112
"114","P","PL5",88786931.87,1117254.00555556,79.47,114
"117","P","PL5",101352238.65,2598581.52777778,39,117
"119","P","PL5",123356343.09375,1950784.84411765,63.23,119
"121","P","PL5",161503141.187143,1681921.69,96.02,121
"125","P","PL5",86314513.0157143,1771389.08333333,48.73,125
"129","P","PL5",73867746.8657143,1701186.56666667,43.42,129
"131","P","PL5",112105567.228571,2389497.75333333,46.92,131
"135","P","PL5",193712323.795714,2397660.83666667,80.79,135
"144","P","PL5",242872816.494286,5494081.60666667,44.21,144
"146","P","PL5",392922674.906667,10531077.1928571,37.31,146
"149","P","PL5",573973730.46,10481399,54.76,149
"156","P","PL5",NA,17940926.5885417,NA,156
"158","P","PL5",NA,32614068.8802083,NA,158
"160","P","PL5",NA,83510893.4635417,NA,160
"166","P","PL5",NA,111891383.25,NA,166
