"day","lim","cID","Phage","Syn","pst1","day.num"
"2","N","NL2",2102120.50533333,9599786,0.22,2
"4","N","NL2",32876397.0117143,6576179.93333333,5,4
"7","N","NL2",90504453.8868889,7826764.3,11.56,7
"9","N","NL2",212132408.739333,5740280.2,36.96,9
"11","N","NL2",308949211.042727,4678426.32,66.04,11
"14","N","NL2",572397140.081,2777080.95,206.11,14
"16","N","NL2",573074216.267647,649781.433333333,881.95,16
"18","N","NL2",439955081.057143,1624686.81428571,270.79,18
"21","N","NL2",554770148.4,1310524.72142857,423.32,21
"23","N","NL2",365786749.0225,93339.0271428572,3918.9,23
"25","N","NL2",127846069.455,218150.239,586.05,25
"28","N","NL2",146960746.0425,619088.24,237.38,28
"30","N","NL2",245734725.99,1031737.79767442,238.18,30
"32","N","NL2",307227677.8025,754004.151351352,407.46,32
"35","N","NL2",274303017.82,587609.625675676,466.81,35
"37","N","NL2",187797993.0775,1419582.25405405,132.29,37
"39","N","NL2",137981293.32,726205.543243243,190,39
"42","N","NL2",217095309.782,490049.748648649,443.01,42
"44","N","NL2",100735827.374,175263.605405405,574.77,44
"46","N","NL2",131461558.67,187551.817073171,700.93,46
"49","N","NL2",118105981.023333,290339.991860465,406.79,49
"51","N","NL2",40327522.326,140028.275641026,288,51
"53","N","NL2",28354918.696,344858.874358974,82.22,53
"56","N","NL2",77898128.2857143,397228.193589744,196.1,56
"58","N","NL2",287444093.374286,949203.33,302.83,58
"60","N","NL2",109088990.434667,1108016.11625,98.45,60
"63","N","NL2",45430696.4475,2469618.41625,18.4,63
"65","N","NL2",123570139.587143,1496415.62125,82.58,65
"67","N","NL2",123570139.587143,1796951.19571429,68.77,67
"70","N","NL2",22488850.9485714,953121.61,23.59,70
"72","N","NL2",1422487.56,3387353.06,0.42,72
"74","N","NL2",1446195.686,3066054.1,0.47,74
"77","N","NL2",125257932.366667,5031561.305,24.89,77
"79","N","NL2",182048772.5225,20585663.55,8.84,79
"81","N","NL2",16704350.4441667,17061170.69,0.98,81
"84","N","NL2",14150787.70625,13887503.8285714,1.02,84
"86","N","NL2",24577423.9533333,78199073.1,0.31,86
"88","N","NL2",3962643.91714286,69005808.65,0.06,88
"91","N","NL2",20380521.1721429,54571844.7,0.37,91
"93","N","NL2",38620537.254,44851245.0666667,0.86,93
"95","N","NL2",46823548.85,43153323.7333333,1.09,95
"98","N","NL2",127278767.868571,84902597.1333333,1.5,98
"100","N","NL2",41082795.4828572,56521189,0.73,100
"102","N","NL2",49194361.45,42957409.7333333,1.15,102
"105","N","NL2",64762697.5233333,29772397.5333333,2.18,105
"107","N","NL2",179391486.733333,25116174.8,7.14,107
"109","N","NL2",114095356.375,28877723.6,3.95,109
"112","N","NL2",177858361.252,26696547.7333333,6.66,112
"114","N","NL2",169953394.668571,28094067.6,6.05,114
"117","N","NL2",291271262.285714,53190651,5.48,117
"119","N","NL2",156781837.238,37155090.1,4.22,119
"121","N","NL2",129754573.598,24058239.2,5.39,121
"125","N","NL2",222808968.148,23640289.3333333,9.42,125
"129","N","NL2",84519469.19,23783959.6,3.55,129
"131","N","NL2",97227024.726,20564439.5333333,4.73,131
"135","N","NL2",86273870.514,39052190.6666667,2.21,135
"144","N","NL2",130821439.268,27493264.6666667,4.76,144
"146","N","NL2",181367163.9,18807744,9.64,146
"149","N","NL2",157137459.128,17351449.9333333,9.06,149
"156","N","NL2",NA,33006066.9444444,NA,156
"158","N","NL2",NA,12884066.5277778,NA,158
"160","N","NL2",NA,24040280.4166667,NA,160
"166","N","NL2",NA,20629744.2,NA,166
"2","N","NL3",2362909.89133333,22353787.4,0.11,2
"4","N","NL3",26620838.6228571,47166295.5,0.56,4
"7","N","NL3",99152651.4044445,4597448.53333333,21.57,7
"9","N","NL3",431590628.412667,5890480.93333333,73.27,9
"11","N","NL3",591334544.544545,5505183.4,107.41,11
"14","N","NL3",710579952.472,1399385.71428571,507.78,14
"16","N","NL3",851690718.424,621581.690909091,1370.2,16
"18","N","NL3",634056895.494286,484887.15,1307.64,18
"21","N","NL3",860706580.054286,643017.735714286,1338.54,21
"23","N","NL3",887928589.015,479989.3,1849.89,23
"25","N","NL3",257440613.2025,1103387.648,233.32,25
"28","N","NL3",443253050.7275,2445202.634,181.27,28
"30","N","NL3",940323547.475,1149514.00465116,818.02,30
"32","N","NL3",716400297.405,569871.466216216,1257.13,32
"35","N","NL3",719393448.3125,662533.493243243,1085.82,35
"37","N","NL3",461982470.2675,356930.81875,1294.32,37
"39","N","NL3",488654112.0175,439122.8640625,1112.8,39
"42","N","NL3",421008901.508,444479.8875,947.19,42
"44","N","NL3",263089074.222,300299.428125,876.09,44
"46","N","NL3",350382394.154,868909.2015625,403.24,46
"49","N","NL3",310766115.608,743248.7375,418.12,49
"51","N","NL3",173140444.178,1826898.05,94.77,51
"53","N","NL3",136392848.878,2234399.17,61.04,53
"56","N","NL3",168818791.495714,2329335.82916667,72.48,56
"58","N","NL3",127857923.518,7209022.96875,17.74,58
"60","N","NL3",117544888.708,9158979.5,12.83,60
"63","N","NL3",82929049.0708333,13918710.13,5.96,63
"65","N","NL3",104695084.416,11583415.25,9.04,65
"67","N","NL3",74782203.1542857,8293284.5125,9.02,67
"70","N","NL3",6282653.39,5735382.35,1.1,70
"72","N","NL3",79896384.62,14102542.7666667,5.67,72
"74","N","NL3",70753938.53125,17505895.47,4.04,74
"77","N","NL3",68501666.56125,18093637.47,3.79,77
"79","N","NL3",110851953.026389,23209686.6875,4.78,79
"81","N","NL3",52024518.99125,22727248.4625,2.29,81
"84","N","NL3",41150532.9857143,18848326.1857143,2.18,84
"86","N","NL3",45243007.1166667,41768864.8,1.08,86
"88","N","NL3",66935942.4066667,50140923.0666667,1.33,88
"91","N","NL3",97183559.8283333,36276742.3333333,2.68,91
"93","N","NL3",76004300.6016667,35083299.55,2.17,93
"95","N","NL3",84262631.1583333,28603444,2.95,95
"98","N","NL3",160128634.358333,40608074.35,3.94,98
"100","N","NL3",146476705.136667,80035766.85,1.83,100
"102","N","NL3",125155197.154,75270158.8,1.66,102
"105","N","NL3",156070593.458,40012169.2666667,3.9,105
"107","N","NL3",561906294.326,39770542,14.13,107
"109","N","NL3",583901508.2225,24959443.6,23.39,109
"112","N","NL3",307583299.6925,17273084.3333333,17.81,112
"114","N","NL3",240795533.073333,19175082.75,12.56,114
"117","N","NL3",536435864.293333,29960148.45,17.9,117
"119","N","NL3",276258938.215,22726024,12.16,119
"121","N","NL3",237436881.89,13738469.25,17.28,121
"125","N","NL3",222698330.226667,9000289.16,24.74,125
"129","N","NL3",184093598.39,9282405.32,19.83,129
"131","N","NL3",163072393.336667,18200410.6,8.96,131
"135","N","NL3",214795621.56,14279681.675,15.04,135
"144","N","NL3",392646080.103333,14015197.775,28.02,144
"146","N","NL3",214795621.56,14669060.75,14.64,146
"149","N","NL3",261895765.213333,11833205.6,22.13,149
"156","N","NL3",NA,6918213.125,NA,156
"158","N","NL3",NA,12691043.6197917,NA,158
"160","N","NL3",NA,15935869.2447917,NA,160
"166","N","NL3",NA,17710625.6,NA,166
"2","N","NL5",2299688.222,23186421.9,0.1,2
"4","N","NL5",31735020.0885714,9103470.53333334,3.49,4
"7","N","NL5",80533869.7857778,16894317.2666667,4.77,7
"9","N","NL5",509424406.070667,4022767.46666667,126.64,9
"11","N","NL5",541202634.475455,2217746.48,244.03,11
"14","N","NL5",700895183.001,1834244.825,382.12,14
"16","N","NL5",789496401.217333,475091.45,1661.78,16
"18","N","NL5",914930451.091429,1309125.33571429,698.89,18
"21","N","NL5",837591157.204286,706689.785714286,1185.23,21
"23","N","NL5",963024078.12,134480.967142857,7161.04,23
"25","N","NL5",347620397.475,613602.648,566.52,25
"28","N","NL5",790991988.8325,1036189.146,763.37,28
"30","N","NL5",1029347560.605,830128.623255814,1239.99,30
"32","N","NL5",890566118.0325,299165.972972973,2976.83,32
"35","N","NL5",817811806.37,291885.385135135,2801.83,35
"37","N","NL5",507798423.7625,199434.3296875,2546.19,37
"39","N","NL5",559393232.97,117089.2265625,4777.5,39
"42","N","NL5",615225869.7,217648.209375,2826.7,42
"44","N","NL5",355574473.748,238923.2453125,1488.24,44
"46","N","NL5",448344370.786,508304.9953125,882.04,46
"49","N","NL5",294360092.416,1744093.7734375,168.78,49
"51","N","NL5",360482055.83,1982061.938,181.87,51
"53","N","NL5",161642003.068,938183.1675,172.29,53
"56","N","NL5",341380080.024286,5210904.24583333,65.51,56
"58","N","NL5",74883809.4085714,10987714.24375,6.82,58
"60","N","NL5",83294549.3466667,14036258.53,5.93,60
"63","N","NL5",61008910.9066667,18726439.69,3.26,63
"65","N","NL5",66636768.4357143,9395300.7625,7.09,65
"67","N","NL5",66636768.4357143,7659012.9375,8.7,67
"70","N","NL5",37170954.6928571,12110283.9714286,3.07,70
"72","N","NL5",157659037.9,12060139.3166667,13.07,72
"74","N","NL5",107008320.138571,19595318.28,5.46,74
"77","N","NL5",128413371.041429,16934806.16,7.58,77
"79","N","NL5",122604880.171429,24616594.1,4.98,79
"81","N","NL5",106618829.497143,19110186.2375,5.58,81
"84","N","NL5",86206393.54,18375508.7375,4.69,84
"86","N","NL5",94792990.4566667,41119899.675,2.31,86
"88","N","NL5",87127363.05,54986529.3333333,1.58,88
"91","N","NL5",85191199.4266667,35542064.8333333,2.4,91
"93","N","NL5",88786931.87,34378009.15,2.58,93
"95","N","NL5",177178728.306667,19895066.7,8.91,95
"98","N","NL5",143374891.985,61115372.3,2.35,98
"100","N","NL5",132805019.143333,22059916.4,6.02,100
"102","N","NL5",102798434.336,18063270.8,5.69,102
"105","N","NL5",301282865.208,8688785.9,34.67,105
"107","N","NL5",473451276.22,5113355.4,92.59,107
"109","N","NL5",344330894.9925,4809688.7,71.59,109
"112","N","NL5",156710712.86,3484003.96666667,44.98,112
"114","N","NL5",110124245.27,5204781.93333333,21.16,114
"117","N","NL5",208512968.17,11477295.1666667,18.17,117
"119","N","NL5",166121521.763889,7332081.45,22.66,119
"121","N","NL5",207031210.295,18799580.9166667,11.01,121
"125","N","NL5",137566401.115,11265055,12.21,125
"129","N","NL5",171291210.35,7714113.75,22.2,129
"131","N","NL5",128112785.8725,11460969,11.18,131
"135","N","NL5",151228208.7225,9021839.7,16.76,135
"144","N","NL5",310428274.8125,18717623.56,16.58,144
"146","N","NL5",294929087.44,16941663.15,17.41,146
"149","N","NL5",378381690.96,37879971.9,9.99,149
"156","N","NL5",NA,119732024.791667,NA,156
"158","N","NL5",NA,28580995.5208333,NA,158
"160","N","NL5",NA,NA,NA,160
"166","N","NL5",NA,182017166.933333,NA,166
"2","P","PL2",2102120.50533333,42190079.9,0.05,2
"4","P","PL2",24957882.9277143,24645981.2,1.01,4
"7","P","PL2",130218199.173111,20747292.6,6.28,7
"9","P","PL2",210947002.439333,11794022.8,17.89,9
"11","P","PL2",152723437.123636,16801584.64,9.09,11
"14","P","PL2",97120338.159,11723003.975,8.28,14
"16","P","PL2",71524452.62625,12790735.275,5.59,16
"18","P","PL2",179847054.644706,13250316.8666667,13.57,18
"21","P","PL2",187085006.052941,6776991.78333333,27.61,21
"23","P","PL2",134804404.436,7139106.16,18.88,23
"25","P","PL2",104256484.085,5406472.88461538,19.28,25
"28","P","PL2",262389684.505,9073078.74615385,28.92,28
"30","P","PL2",28540936.3,9327013.43076923,3.06,30
"32","P","PL2",659870094.66,6645252.17692308,99.3,32
"35","P","PL2",253093363.56,7767990.1,32.58,35
"37","P","PL2",268084194,8361006.70769231,32.06,37
"39","P","PL2",176884172.801818,3524191.45384615,50.19,39
"42","P","PL2",43622951.84,2967343.58461538,14.7,42
"44","P","PL2",34681601.4628571,2044852.375,16.96,44
"46","P","PL2",101583080.929474,2323417.59375,43.72,46
"49","P","PL2",147851360.512632,2852385.39375,51.83,49
"51","P","PL2",160914953.870667,4453370.1125,36.13,51
"53","P","PL2",130457914.669333,13357661.4125,9.77,53
"56","P","PL2",117434250.786667,1214666.8,96.68,56
"58","P","PL2",191172167.438571,2792754.07,68.45,58
"60","P","PL2",183825784.374074,1230339.92,149.41,60
"63","P","PL2",97282343.6866667,929367.0375,104.68,63
