"","-6","9","23","72","100","129"
"9",1,0.6,0.25,0,0,0
"23",0.666666666666667,0.4,0.166666666666667,0,0,0
"72",0.75,0.5,0.125,0,0,0
"129",0.625,0.2,0.0625,0,0,0
"166",0.75,0.45,0.125,0,0,0
