"","-6","9","72","100","129","166"
"9",1,0.333333333333333,0,0,0,0
"23",0.666666666666667,0.222222222222222,0,0,0,0
"72",0.866666666666667,0.266666666666667,0,0,0,0
"129",0.25,0.0833333333333333,0,0,0,0
