	B.iso	B.Time.point	B.cID	B.Rep	B.daynumber	B.trt
1	1	1	NL2	1	-6	N
2	2	1	NL2	3	-6	N
3	3	1	NL2	4	-6	N
4	4	3	NL2	3	9	N
5	5	3	NL2	4	9	N
6	6	3	NL2	5	9	N
7	7	5	NL2	4	23	N
8	8	5	NL2	5	23	N
9	9	12	NL2	1	72	N
10	10	12	NL2	3	72	N
11	11	12	NL2	5	72	N
12	12	19	NL2	2	129	N
13	13	3	NL2	1	9	N
14	14	19	NL2	3	129	N
15	15	19	NL2	1	129	N
16	16	12	NL2	2	72	N
17	17	12	NL2	4	72	N
18	18	16	NL2	1	100	N
19	19	1	NL3	2	-6	N
20	20	1	NL3	3	-6	N
21	21	3	NL3	1	9	N
22	22	3	NL3	2	9	N
23	23	3	NL3	3	9	N
24	24	3	NL3	4	9	N
25	25	3	NL3	5	9	N
26	26	5	NL3	2	23	N
27	27	5	NL3	3	23	N
28	28	5	NL3	4	23	N
29	29	12	NL3	1	72	N
30	30	12	NL3	2	72	N
31	31	12	NL3	3	72	N
32	32	12	NL3	4	72	N
33	33	16	NL3	4	100	N
34	34	19	NL3	4	129	N
35	35	5	NL3	4	23	N
36	36	16	NL3	1	100	N
37	37	16	NL3	2	100	N
38	38	16	NL3	3	100	N
39	39	16	NL3	5	100	N
40	40	1	NL5	1	-6	N
41	41	1	NL5	3	-6	N
42	42	1	NL5	4	-6	N
43	43	3	NL5	2	9	N
44	44	12	NL5	4	72	N
45	45	16	NL5	1	100	N
46	46	16	NL5	4	100	N
47	47	16	NL5	5	100	N
48	48	19	NL5	5	129	N
49	49	3	NL5	4	9	N
50	50	3	NL5	1	9	N
51	51	21	NL5	3	166	N
52	52	21	NL5	5	166	N
53	53	1	PL2	1	-6	P
54	54	1	PL2	2	-6	P
55	55	1	PL2	3	-6	P
56	56	1	PL2	4	-6	P
57	57	1	PL2	5	-6	P
58	58	3	PL2	2	9	P
59	60	3	PL2	4	9	P
60	61	5	PL2	1	23	P
61	62	5	PL2	2	23	P
62	64	5	PL2	5	23	P
63	65	12	PL2	1	72	P
64	66	12	PL2	2	72	P
65	67	12	PL2	3	72	P
66	68	12	PL2	4	72	P
67	69	16	PL2	1	100	P
68	70	16	PL2	2	100	P
69	71	16	PL2	3	100	P
70	72	16	PL2	5	100	P
71	73	19	PL2	2	129	P
72	74	16	PL2	4	100	P
73	75	21	PL2	5	166	P
74	76	21	PL2	2	166	P
75	77	1	PL4	2	-6	P
76	78	1	PL4	3	-6	P
77	79	1	PL4	4	-6	P
78	80	1	PL4	5	-6	P
79	81	5	PL4	1	23	P
80	82	5	PL4	4	23	P
81	83	5	PL4	5	23	P
82	84	12	PL4	1	72	P
83	85	12	PL4	2	72	P
84	86	12	PL4	3	72	P
85	87	12	PL4	4	72	P
86	88	12	PL4	5	72	P
87	89	16	PL4	5	100	P
88	90	16	PL4	3	100	P
89	91	16	PL4	4	100	P
90	92	16	PL4	1	100	P
91	93	16	PL4	2	100	P
92	94	21	PL4	2	166	P
93	95	21	PL4	2	166	P
94	96	21	PL4	4	166	P
95	97	1	PL5	1	-6	P
96	98	3	PL5	3	9	P
97	99	3	PL5	5	9	P
98	100	5	PL5	4	23	P
99	101	12	PL5	2	72	P
100	102	12	PL5	4	72	P
101	103	12	PL5	5	72	P
102	104	16	PL5	1	100	P
103	105	16	PL5	2	100	P
104	106	16	PL5	3	100	P
105	107	19	PL5	2	129	P
106	108	19	PL5	3	129	P
107	109	19	PL5	5	129	P
108	110	16	PL5	4	100	P
109	111	16	PL5	5	100	P
110	112	5	PL5	2	23	P
111	113	21	PL5	1	166	P
112	114	21	PL5	2	166	P
113	115	21	PL5	5	166	P
114	116	3	PL5	4	9	P
