Day,cID,abd,trt
0,NL2,7.23593081,N
2,NL2,6.982261552,N
4,NL2,6.817973688,N
7,NL2,6.893582255,N
9,NL2,6.758933092,N
11,NL2,6.670099794,N
14,NL2,6.443588539,N
16,NL2,5.812767298,N
18,NL2,6.210769656,N
21,NL2,6.117445218,N
23,NL2,4.97006327,N
25,NL2,5.338755693,N
28,NL2,5.791752554,N
30,NL2,6.013569341,N
32,NL2,5.877373737,N
35,NL2,5.769088901,N
37,NL2,6.152160562,N
39,NL2,5.86105956,N
42,NL2,5.690240171,N
44,NL2,5.243691741,N
46,NL2,5.273121276,N
49,NL2,5.46290686,N
51,NL2,5.146215741,N
53,NL2,5.537641406,N
56,NL2,5.599040065,N
58,NL2,5.977359253,N
60,NL2,6.044546077,N
63,NL2,6.392629855,N
65,NL2,6.175052233,N
67,NL2,6.254536282,N
70,NL2,5.979148316,N
72,NL2,6.529860465,N
74,NL2,6.486579814,N
77,NL2,6.701702769,N
79,NL2,7.31356487,N
81,NL2,7.232008828,N
84,NL2,7.142624192,N
86,NL2,7.893201605,N
88,NL2,7.83888565,N
91,NL2,7.736968635,N
93,NL2,7.651774504,N
95,NL2,7.635014251,N
98,NL2,7.928920975,N
100,NL2,7.752211289,N
102,NL2,7.633038086,N
105,NL2,7.473813809,N
107,NL2,7.399953497,N
109,NL2,7.460562955,N
112,NL2,7.426455104,N
114,NL2,7.448614623,N
117,NL2,7.725835306,N
119,NL2,7.570018319,N
121,NL2,7.381263839,N
125,NL2,7.373652788,N
129,NL2,7.376284158,N
131,NL2,7.313116878,N
135,NL2,7.591645401,N
144,NL2,7.439226313,N
146,NL2,7.274336705,N
149,NL2,7.239335771,N
0,NL3,7.469601972,N
2,NL3,7.349351116,N
4,NL3,7.673631768,N
7,NL3,6.662516876,N
9,NL3,6.770150755,N
11,NL3,6.740771792,N
14,NL3,6.145937436,N
16,NL3,5.793498214,N
18,NL3,5.685640675,N
21,NL3,5.808222952,N
23,NL3,5.681231556,N
25,NL3,6.042728118,N
28,NL3,6.388314855,N
30,NL3,6.060514267,N
32,NL3,5.755776912,N
35,NL3,5.821207838,N
37,NL3,5.552584048,N
39,NL3,5.64258605,N
42,NL3,5.647852114,N
44,NL3,5.477554505,N
46,NL3,5.938974396,N
49,NL3,5.87113418,N
51,NL3,6.261714312,N
53,NL3,6.349160761,N
56,NL3,6.367232107,N
58,NL3,6.857876409,N
60,NL3,6.961847087,N
63,NL3,7.14359899,N
65,NL3,7.063836626,N
67,NL3,6.918726565,N
70,NL3,6.758562375,N
72,NL3,7.149297426,N
74,NL3,7.243184331,N
77,NL3,7.257525884,N
79,NL3,7.365669278,N
81,NL3,7.35654686,N
84,NL3,7.275272789,N
86,NL3,7.620852672,N
88,NL3,7.700192325,N
91,NL3,7.55962828,N
93,NL3,7.545100432,N
95,NL3,7.456418328,N
98,NL3,7.608612396,N
100,NL3,7.90328411,N
102,NL3,7.876622832,N
105,NL3,7.602192097,N
107,NL3,7.59956151,N
109,NL3,7.3972349,N
112,NL3,7.237369893,N
114,NL3,7.282737247,N
117,NL3,7.476543961,N
119,NL3,7.356523461,N
121,NL3,7.137938346,N
125,NL3,6.954256463,N
129,NL3,6.967660528,N
131,NL3,7.260081186,N
135,NL3,7.154718526,N
144,NL3,7.146599231,N
146,NL3,7.166402307,N
149,NL3,7.07310241,N
0,NL5,7.550642897,N
2,NL5,7.365233734,N
4,NL5,6.959206991,N
7,NL5,7.227740646,N
9,NL5,6.604524929,N
11,NL5,6.345911899,N
14,NL5,6.263457302,N
16,NL5,5.676777215,N
18,NL5,6.116981228,N
21,NL5,5.849228814,N
23,NL5,5.128660824,N
25,NL5,5.787887225,N
28,NL5,6.015439039,N
30,NL5,5.919145389,N
32,NL5,5.475912196,N
35,NL5,5.46521235,N
37,NL5,5.299799918,N
39,NL5,5.068516937,N
42,NL5,5.337755099,N
44,NL5,5.378258405,N
46,NL5,5.706124378,N
49,NL5,6.241569832,N
51,NL5,6.297117222,N
53,NL5,5.972287637,N
56,NL5,6.716913093,N
58,NL5,7.040907356,N
60,NL5,7.147251359,N
63,NL5,7.272455216,N
65,NL5,6.972910687,N
67,NL5,6.884172803,N
70,NL5,7.083154327,N
72,NL5,7.081352325,N
74,NL5,7.292152322,N
77,NL5,7.22878023,N
79,NL5,7.391227965,N
81,NL5,7.28126492,N
84,NL5,7.264239372,N
86,NL5,7.614052046,N
88,NL5,7.740256309,N
91,NL5,7.550742655,N
93,NL5,7.536280723,N
95,NL5,7.298745399,N
98,NL5,7.786150462,N
100,NL5,7.343603862,N
102,NL5,7.256796393,N
