Day,cID,abd,trt
105,NL5,6.938959096,N
107,NL5,6.708705979,N
109,NL5,6.682116968,N
112,NL5,6.542078641,N
114,NL5,6.716402538,N
117,NL5,7.059839551,N
119,NL5,6.865227281,N
121,NL5,7.274148168,N
125,NL5,7.051733316,N
129,NL5,6.887286039,N
131,NL5,7.059221338,N
135,NL5,6.955295106,N
144,NL5,7.272250709,N
146,NL5,7.228956042,N
149,NL5,7.578409648,N
0,PL2,8.080145419,P
2,PL2,7.625210348,P
4,PL2,7.391746113,P
7,PL2,7.316961432,P
9,PL2,7.071661963,P
11,PL2,7.225350244,P
14,PL2,7.069038912,P
16,PL2,7.106895511,P
18,PL2,7.122226264,P
21,PL2,6.831036959,P
23,PL2,6.85364384,P
25,PL2,6.732914029,P
28,PL2,6.95775468,P
30,PL2,6.969742602,P
32,PL2,6.822511466,P
35,PL2,6.890308663,P
37,PL2,6.922258572,P
39,PL2,6.547059494,P
42,PL2,6.472367836,P
44,PL2,6.31066196,P
46,PL2,6.366127274,P
49,PL2,6.455208204,P
51,PL2,6.64868879,P
53,PL2,7.125730431,P
56,PL2,6.084457161,P
58,PL2,6.446032693,P
60,PL2,6.090025115,P
63,PL2,5.968187265,P
65,PL2,6.687915848,P
67,PL2,6.500909761,P
70,PL2,5.970356173,P
72,PL2,5.931385915,P
74,PL2,6.128886725,P
77,PL2,5.727182885,P
79,PL2,5.696043435,P
81,PL2,5.697387434,P
84,PL2,6.139554001,P
86,PL2,6.131843382,P
88,PL2,6.066001441,P
91,PL2,6.318208576,P
93,PL2,5.915573194,P
95,PL2,5.927594912,P
98,PL2,5.964971105,P
100,PL2,6.033709412,P
102,PL2,6.064753826,P
105,PL2,6.19174921,P
107,PL2,6.216102338,P
109,PL2,6.107269526,P
112,PL2,6.31254329,P
114,PL2,6.474775559,P
117,PL2,6.729334602,P
119,PL2,6.721535126,P
121,PL2,6.740095095,P
125,PL2,7.003661827,P
129,PL2,6.854283964,P
131,PL2,7.078905589,P
135,PL2,6.715516153,P
144,PL2,7.538071376,P
146,PL2,8.187225483,P
149,PL2,7.664425054,P
0,PL4,7.667042816,P
2,PL4,7.499295782,P
4,PL4,7.204641765,P
7,PL4,6.934859627,P
9,PL4,7.142507477,P
11,PL4,7.027824009,P
14,PL4,7.34911316,P
16,PL4,7.238333467,P
18,PL4,6.868982428,P
21,PL4,6.690222573,P
23,PL4,6.368068385,P
25,PL4,6.201721773,P
28,PL4,6.544539239,P
30,PL4,6.432337763,P
32,PL4,6.454181613,P
35,PL4,6.429973177,P
37,PL4,6.649821707,P
39,PL4,5.944069933,P
42,PL4,5.671144263,P
44,PL4,5.605488628,P
46,PL4,6.05251937,P
49,PL4,5.627021588,P
51,PL4,5.518801009,P
53,PL4,5.675224621,P
56,PL4,6.24797514,P
58,PL4,6.21179713,P
60,PL4,5.683441711,P
63,PL4,5.474087598,P
65,PL4,5.685640675,P
67,PL4,6.153076861,P
70,PL4,5.719794951,P
72,PL4,6.123695327,P
74,PL4,6.306795967,P
77,PL4,6.33513288,P
79,PL4,6.543886131,P
81,PL4,6.506751664,P
84,PL4,6.540505847,P
86,PL4,6.775765353,P
88,PL4,6.963453226,P
91,PL4,6.944881425,P
93,PL4,7.01170745,P
95,PL4,6.896399545,P
98,PL4,6.947612067,P
100,PL4,6.904610931,P
102,PL4,6.889074677,P
105,PL4,6.940279067,P
107,PL4,6.861088058,P
109,PL4,7.09492468,P
112,PL4,7.033660203,P
117,PL4,7.573610141,P
119,PL4,7.472478105,P
121,PL4,7.347156982,P
125,PL4,7.412063252,P
129,PL4,7.347730435,P
131,PL4,7.429736009,P
135,PL4,7.519051817,P
144,PL4,7.459308941,P
146,PL4,7.721817752,P
149,PL4,7.17459001,P
0,PL5,7.53541362,P
2,PL5,6.994496008,P
4,PL5,6.993633457,P
7,PL5,6.809701162,P
9,PL5,7.183602929,P
11,PL5,7.152043913,P
14,PL5,7.168788348,P
16,PL5,6.977695264,P
18,PL5,6.886872228,P
21,PL5,6.947923931,P
23,PL5,7.176081578,P
25,PL5,7.204420401,P
28,PL5,7.064020221,P
30,PL5,7.083317395,P
32,PL5,6.920965036,P
35,PL5,6.96416333,P
37,PL5,7.598249158,P
39,PL5,6.655677452,P
42,PL5,6.739804758,P
44,PL5,6.907752554,P
46,PL5,6.666508299,P
49,PL5,6.519523667,P
51,PL5,6.673361095,P
53,PL5,6.847885155,P
56,PL5,6.82411881,P
58,PL5,6.772072415,P
60,PL5,6.861088058,P
63,PL5,6.439587215,P
65,PL5,6.803079374,P
67,PL5,6.459530501,P
70,PL5,6.223523342,P
72,PL5,6.113906399,P
74,PL5,5.698605652,P
77,PL5,5.853365663,P
79,PL5,5.797639359,P
81,PL5,5.772391866,P
84,PL5,6.093211822,P
86,PL5,5.869621096,P
88,PL5,5.748511419,P
91,PL5,5.799708332,P
93,PL5,5.594721026,P
95,PL5,5.823384692,P
98,PL5,6.17989368,P
100,PL5,6.05605469,P
102,PL5,6.278775017,P
107,PL5,6.000034632,P
109,PL5,6.014030576,P
112,PL5,5.666871079,P
114,PL5,6.048151921,P
117,PL5,6.414736347,P
119,PL5,6.290209373,P
121,PL5,6.225805771,P
125,PL5,6.248313964,P
129,PL5,6.230751945,P
131,PL5,6.378306626,P
135,PL5,6.37978775,P
144,PL5,6.739895106,P
146,PL5,7.022472796,P
149,PL5,7.020419254,P
