Day,cID,abd,trt
2,NL2,2102120.505,N
4,NL2,32876397.01,N
7,NL2,90504453.89,N
9,NL2,212132408.7,N
11,NL2,308949211,N
14,NL2,572397140.1,N
16,NL2,573074216.3,N
18,NL2,439955081.1,N
21,NL2,554770148.4,N
23,NL2,365786749,N
25,NL2,127846069.5,N
28,NL2,146960746,N
30,NL2,245734726,N
32,NL2,307227677.8,N
35,NL2,274303017.8,N
37,NL2,187797993.1,N
39,NL2,137981293.3,N
42,NL2,217095309.8,N
44,NL2,100735827.4,N
46,NL2,131461558.7,N
49,NL2,118105981,N
51,NL2,40327522.33,N
53,NL2,28354918.7,N
56,NL2,77898128.29,N
58,NL2,287444093.4,N
60,NL2,109088990.4,N
63,NL2,45430696.45,N
65,NL2,123570139.6,N
67,NL2,123570139.6,N
70,NL2,22488850.95,N
72,NL2,1422487.56,N
74,NL2,1446195.686,N
77,NL2,125257932.4,N
79,NL2,182048772.5,N
81,NL2,16704350.44,N
84,NL2,14150787.71,N
86,NL2,24577423.95,N
88,NL2,3962643.917,N
91,NL2,20380521.17,N
93,NL2,38620537.25,N
95,NL2,46823548.85,N
98,NL2,127278767.9,N
100,NL2,41082795.48,N
102,NL2,49194361.45,N
105,NL2,64762697.52,N
107,NL2,179391486.7,N
109,NL2,114095356.4,N
112,NL2,177858361.3,N
114,NL2,169953394.7,N
117,NL2,291271262.3,N
119,NL2,156781837.2,N
121,NL2,129754573.6,N
125,NL2,222808968.1,N
129,NL2,84519469.19,N
131,NL2,97227024.73,N
135,NL2,86273870.51,N
144,NL2,130821439.3,N
146,NL2,181367163.9,N
149,NL2,157137459.1,N
2,NL3,2362909.891,N
4,NL3,26620838.62,N
7,NL3,99152651.4,N
9,NL3,431590628.4,N
11,NL3,591334544.5,N
14,NL3,710579952.5,N
16,NL3,851690718.4,N
18,NL3,634056895.5,N
21,NL3,860706580.1,N
23,NL3,887928589,N
25,NL3,257440613.2,N
28,NL3,443253050.7,N
30,NL3,940323547.5,N
32,NL3,716400297.4,N
35,NL3,719393448.3,N
37,NL3,461982470.3,N
39,NL3,488654112,N
42,NL3,421008901.5,N
44,NL3,263089074.2,N
46,NL3,350382394.2,N
49,NL3,310766115.6,N
51,NL3,173140444.2,N
53,NL3,136392848.9,N
56,NL3,168818791.5,N
58,NL3,127857923.5,N
60,NL3,117544888.7,N
63,NL3,82929049.07,N
65,NL3,104695084.4,N
67,NL3,74782203.15,N
70,NL3,6282653.39,N
72,NL3,79896384.62,N
74,NL3,70753938.53,N
77,NL3,68501666.56,N
79,NL3,110851953,N
81,NL3,52024518.99,N
84,NL3,41150532.99,N
86,NL3,45243007.12,N
88,NL3,66935942.41,N
91,NL3,97183559.83,N
93,NL3,76004300.6,N
95,NL3,84262631.16,N
98,NL3,160128634.4,N
100,NL3,146476705.1,N
102,NL3,125155197.2,N
105,NL3,156070593.5,N
107,NL3,561906294.3,N
109,NL3,583901508.2,N
112,NL3,307583299.7,N
114,NL3,240795533.1,N
117,NL3,536435864.3,N
119,NL3,276258938.2,N
121,NL3,237436881.9,N
125,NL3,222698330.2,N
129,NL3,184093598.4,N
131,NL3,163072393.3,N
135,NL3,214795621.6,N
144,NL3,392646080.1,N
146,NL3,214795621.6,N
149,NL3,261895765.2,N
2,NL5,2299688.222,N
4,NL5,31735020.09,N
7,NL5,80533869.79,N
9,NL5,509424406.1,N
11,NL5,541202634.5,N
14,NL5,700895183,N
16,NL5,789496401.2,N
18,NL5,914930451.1,N
21,NL5,837591157.2,N
23,NL5,963024078.1,N
25,NL5,347620397.5,N
28,NL5,790991988.8,N
30,NL5,1029347561,N
32,NL5,890566118,N
35,NL5,817811806.4,N
37,NL5,507798423.8,N
39,NL5,559393233,N
42,NL5,615225869.7,N
44,NL5,355574473.7,N
46,NL5,448344370.8,N
49,NL5,294360092.4,N
51,NL5,360482055.8,N
53,NL5,161642003.1,N
56,NL5,341380080,N
58,NL5,74883809.41,N
60,NL5,83294549.35,N
63,NL5,61008910.91,N
65,NL5,66636768.44,N
67,NL5,66636768.44,N
