Day,cID,abd,trt
70,NL5,37170954.69,N
72,NL5,157659037.9,N
74,NL5,107008320.1,N
77,NL5,128413371,N
79,NL5,122604880.2,N
81,NL5,106618829.5,N
84,NL5,86206393.54,N
86,NL5,94792990.46,N
88,NL5,87127363.05,N
91,NL5,85191199.43,N
93,NL5,88786931.87,N
95,NL5,177178728.3,N
98,NL5,143374892,N
100,NL5,132805019.1,N
102,NL5,102798434.3,N
105,NL5,301282865.2,N
107,NL5,473451276.2,N
109,NL5,344330895,N
112,NL5,156710712.9,N
114,NL5,110124245.3,N
117,NL5,208512968.2,N
119,NL5,166121521.8,N
121,NL5,207031210.3,N
125,NL5,137566401.1,N
129,NL5,171291210.4,N
131,NL5,128112785.9,N
135,NL5,151228208.7,N
144,NL5,310428274.8,N
146,NL5,294929087.4,N
149,NL5,378381691,N
2,PL2,2102120.505,P
4,PL2,24957882.93,P
7,PL2,130218199.2,P
9,PL2,210947002.4,P
11,PL2,152723437.1,P
14,PL2,97120338.16,P
16,PL2,71524452.63,P
18,PL2,179847054.6,P
21,PL2,187085006.1,P
23,PL2,134804404.4,P
25,PL2,104256484.1,P
28,PL2,262389684.5,P
30,PL2,28540936.3,P
32,PL2,659870094.7,P
35,PL2,253093363.6,P
37,PL2,268084194,P
39,PL2,176884172.8,P
42,PL2,43622951.84,P
44,PL2,34681601.46,P
46,PL2,101583080.9,P
49,PL2,147851360.5,P
51,PL2,160914953.9,P
53,PL2,130457914.7,P
56,PL2,117434250.8,P
58,PL2,191172167.4,P
60,PL2,183825784.4,P
63,PL2,97282343.69,P
65,PL2,210900715.1,P
67,PL2,210900715.1,P
70,PL2,360177237.1,P
72,PL2,162976431.9,P
74,PL2,77728784.53,P
77,PL2,213313863.7,P
79,PL2,149153747.7,P
81,PL2,160948540.4,P
84,PL2,81403544.06,P
86,PL2,77723139.74,P
88,PL2,155446279.5,P
91,PL2,108543703.5,P
93,PL2,29160994.98,P
95,PL2,125574040.7,P
98,PL2,215230270.5,P
100,PL2,91276285.1,P
102,PL2,219110500.5,P
105,PL2,239778059.3,P
107,PL2,280230049.3,P
109,PL2,319704079.1,P
112,PL2,61700397.92,P
114,PL2,166976331.4,P
117,PL2,233050878.6,P
119,PL2,113265572,P
121,PL2,287698109,P
125,PL2,70223469.21,P
129,PL2,83002149.13,P
131,PL2,99716377.96,P
135,PL2,156592172.2,P
144,PL2,174610348,P
146,PL2,187442371.2,P
149,PL2,237940679.6,P
2,PL4,2299688.222,P
4,PL4,68943230.41,P
7,PL4,127794701.8,P
9,PL4,272817308.6,P
11,PL4,280294707.8,P
14,PL4,209437585.1,P
16,PL4,224352959.9,P
18,PL4,432924326.7,P
21,PL4,624531309.2,P
23,PL4,307273118.4,P
25,PL4,370429752.3,P
28,PL4,375554952.9,P
30,PL4,336673626.2,P
32,PL4,606946262.6,P
35,PL4,428843525.3,P
37,PL4,450746186.3,P
39,PL4,304089045.2,P
42,PL4,94030075.12,P
44,PL4,113762530.8,P
46,PL4,239962709.2,P
49,PL4,363992682.2,P
51,PL4,290059803.1,P
53,PL4,339135623.9,P
56,PL4,135336925.4,P
58,PL4,92072200.76,P
60,PL4,105224565.9,P
63,PL4,81457169.58,P
65,PL4,115678720.5,P
67,PL4,115678720.5,P
70,PL4,171612963.5,P
72,PL4,118371286.2,P
74,PL4,173560416.7,P
77,PL4,208275886.9,P
79,PL4,78518349.8,P
81,PL4,160296566.9,P
84,PL4,160852159.4,P
86,PL4,22463449.39,P
88,PL4,291002429.1,P
91,PL4,232798979.7,P
93,PL4,335865118.3,P
95,PL4,280842509.2,P
98,PL4,385454615.2,P
100,PL4,122926633.3,P
102,PL4,143031124.2,P
105,PL4,152917412.7,P
107,PL4,428791093.9,P
109,PL4,408965173.5,P
112,PL4,241763614.9,P
114,PL4,.,P
117,PL4,210172537,P
119,PL4,186899060,P
121,PL4,163467528.8,P
125,PL4,149835356.3,P
129,PL4,50063659.4,P
131,PL4,70432890.99,P
135,PL4,200274394.4,P
144,PL4,333336251.6,P
146,PL4,745959250.2,P
149,PL4,378302663.9,P
2,PL5,1841331.119,P
4,PL5,24537910.41,P
7,PL5,145083194.2,P
9,PL5,254601565.1,P
11,PL5,244581649,P
14,PL5,293204860.1,P
16,PL5,274451193.6,P
18,PL5,448543798,P
21,PL5,859404749.9,P
23,PL5,383290667.6,P
25,PL5,496143339.7,P
28,PL5,511493699.9,P
30,PL5,356807296.3,P
32,PL5,507007393,P
35,PL5,544283861.9,P
37,PL5,513919223.6,P
39,PL5,547808580.5,P
42,PL5,274726377.2,P
44,PL5,190748808,P
46,PL5,473840766.9,P
49,PL5,850706831.2,P
51,PL5,501090999.8,P
53,PL5,449170203.8,P
56,PL5,582212304.2,P
58,PL5,470453891.7,P
60,PL5,525194261.2,P
63,PL5,451054999.9,P
65,PL5,189834351.8,P
67,PL5,189834351.8,P
70,PL5,219113887.4,P
72,PL5,198809570.9,P
74,PL5,76475640.73,P
77,PL5,176610721.1,P
79,PL5,80089013.14,P
81,PL5,159807586.8,P
84,PL5,231679194.1,P
86,PL5,233228689.5,P
88,PL5,334067252.1,P
91,PL5,492812912.5,P
93,PL5,442796669.3,P
95,PL5,183998765.9,P
98,PL5,403887683.2,P
100,PL5,312097722,P
102,PL5,283051316.3,P
105,PL5,NA,P
107,PL5,257648059.3,P
109,PL5,203089734.3,P
112,PL5,130483598.5,P
114,PL5,88786931.87,P
117,PL5,101352238.7,P
119,PL5,123356343.1,P
121,PL5,161503141.2,P
125,PL5,86314513.02,P
129,PL5,73867746.87,P
131,PL5,112105567.2,P
135,PL5,193712323.8,P
144,PL5,242872816.5,P
146,PL5,392922674.9,P
149,PL5,573973730.5,P
