Day,SABD,VABD
2,6.982261552,6.322657609
4,6.817973688,7.516884216
7,6.893582255,7.956669952
9,6.758933092,8.326607023
11,6.670099794,8.48988709
14,6.443588539,8.757697455
16,5.812767298,8.758210869
18,6.210769656,8.643408338
21,6.117445218,8.744113084
23,4.97006327,8.563227969
25,5.338755693,8.106687381
28,5.791752554,8.167201348
30,6.013569341,8.390466533
32,5.877373737,8.487460338
35,5.769088901,8.438230586
37,6.152160562,8.273690947
39,5.86105956,8.139820211
42,5.690240171,8.336650441
44,5.243691741,8.003183958
46,5.273121276,8.118798777
49,5.46290686,8.072271891
51,5.146215741,7.60560154
53,5.537641406,7.452628406
56,5.599040065,7.891527023
58,5.977359253,8.458553389
60,6.044546077,8.037780922
63,6.392629855,7.657349395
65,6.175052233,8.091913537
67,6.254536282,8.091913537
70,5.979148316,7.351967266
72,6.529860465,6.153048477
74,6.486579814,6.160227062
77,6.701702769,8.097805239
79,7.31356487,8.260187755
81,7.232008828,7.222829592
84,7.142624192,7.150780616
86,7.893201605,7.390536361
88,7.83888565,6.597985048
91,7.736968635,7.309215286
93,7.651774504,7.586818311
95,7.635014251,7.670464327
98,7.928920975,8.104755963
100,7.752211289,7.613659988
102,7.633038086,7.691915328
105,7.473813809,7.81132493
107,7.399953497,8.253801829
109,7.460562955,8.057267969
112,7.426455104,8.250074287
114,7.448614623,8.230329844
117,7.725835306,8.464297638
119,7.570018319,8.195295749
121,7.381263839,8.113122675
125,7.373652788,8.347932667
129,7.376284158,7.926956761
131,7.313116878,7.987786996
135,7.591645401,7.935879282
144,7.439226313,8.116678923
146,7.274336705,8.258558662
149,7.239335771,8.196279726
2,7.349351116,6.37344716
4,7.673631768,7.425221733
7,6.662516876,7.996304332
9,6.770150755,8.635072006
11,6.740771792,8.77183325
14,6.145937436,8.851612951
16,5.793498214,8.930281914
18,5.685640675,8.80212823
21,5.808222952,8.934855123
23,5.681231556,8.948378039
25,6.042728118,8.410677061
28,6.388314855,8.646651733
30,6.060514267,8.973277312
32,5.755776912,8.855155757
35,5.821207838,8.856966478
37,5.552584048,8.664625497
39,5.64258605,8.689001558
42,5.647852114,8.624291278
44,5.477554505,8.420102813
46,5.938974396,8.544542276
49,5.87113418,8.492433659
51,6.261714312,8.238398527
53,6.349160761,8.134791601
56,6.367232107,8.227420787
58,6.857876409,8.106727647
60,6.961847087,8.070203749
63,7.14359899,7.918706685
65,7.063836626,8.019926291
67,6.918726565,7.873798256
70,6.758562375,6.798143101
72,7.149297426,7.902527128
74,7.243184331,7.84975062
77,7.257525884,7.835701137
79,7.365669278,8.044743349
81,7.35654686,7.716208073
84,7.275272789,7.614375465
86,7.620852672,7.655551463
88,7.700192325,7.825659382
91,7.55962828,7.987592803
93,7.545100432,7.880838167
95,7.456418328,7.925635016
98,7.608612396,8.204469
100,7.90328411,8.165768562
102,7.876622832,8.097448889
105,7.602192097,8.193321082
107,7.59956151,8.749663897
109,7.3972349,8.766339597
112,7.237369893,8.487962752
114,7.282737247,8.381648426
117,7.476543961,8.729517806
119,7.356523461,8.441316338
121,7.137938346,8.37554818
125,6.954256463,8.347716961
129,6.967660528,8.265038687
131,7.260081186,8.212380445
135,7.154718526,8.332025424
144,7.146599231,8.594001266
146,7.166402307,8.332025424
149,7.07310241,8.418128476
2,7.365233734,6.361668961
4,6.959206991,7.501538778
7,7.227740646,7.905978568
9,6.604524929,8.707079748
11,6.345911899,8.733359902
14,6.263457302,8.845653075
16,5.676777215,8.897350155
18,6.116981228,8.961388082
21,5.849228814,8.923032084
23,5.128660824,8.983637146
25,5.787887225,8.541105252
28,6.015439039,8.898172085
30,5.919145389,9.01256204
32,5.475912196,8.949666168
35,5.46521235,8.912653376
37,5.299799918,8.705691348
39,5.068516937,8.747717208
42,5.337755099,8.789034589
44,5.378258405,8.550930576
46,5.706124378,8.651611721
49,6.241569832,8.468878931
51,6.297117222,8.556883651
53,5.972287637,8.208554224
56,6.716913093,8.533238176
58,7.040907356,7.874387929
60,7.147251359,7.920616583
63,7.272455216,7.785393272
65,6.972910687,7.823713928
67,6.884172803,7.823713928
70,7.083154327,7.570203716
72,7.081352325,8.197718872
74,7.292152322,8.029417546
77,7.22878023,8.108610247
79,7.391227965,8.088507757
81,7.28126492,8.02783391
84,7.264239372,7.935539477
86,7.614052046,7.976776224
88,7.740256309,7.94015457
91,7.550742655,7.930394733
93,7.536280723,7.948349049
95,7.298745399,8.24841158
98,7.786150462,8.156473104
100,7.343603862,8.123214489
102,7.256796393,8.0119865
105,6.938959096,8.478974433
107,6.708705979,8.675275292
109,6.682116968,8.536975991
112,6.542078641,8.195098686
114,6.716402538,8.041882945
117,7.059839551,8.319133071
119,6.865227281,8.220425901
121,7.274148168,8.316035821
125,7.051733316,8.138512376
129,6.887286039,8.233735078
131,7.059221338,8.107592475
135,6.955295106,8.179632808
144,7.272250709,8.491961271
146,7.228956042,8.469717607
149,7.578409648,8.577930114
