"","diff","lwr","upr","p adj"
"N-C",0.0929047646,0.0567692607218143,0.129040268478186,2.42645854631185e-07
"NP-C",0.1218363858,0.0857008819218143,0.157971889678186,4.54213333611619e-10
"P-C",0.037162211,0.00102670712181425,0.0732977148781857,0.0418804903105005
"NP-N",0.0289316212,-0.00720388267818575,0.0650671250781857,0.155113473711931
"P-N",-0.0557425536,-0.0918780574781858,-0.0196070497218143,0.00105551649658975
"P-NP",-0.0846741748,-0.120809678678186,-0.0485386709218143,1.56393662820165e-06
