"","diff","lwr","upr","p adj"
"NP-N",8.52185562288036,-15.9322078353717,32.9759190811324,0.619739085626035
"P-N",12.2858735972489,-10.9132879750622,35.48503516956,0.353168439827275
"P-NP",3.76401797436855,-19.4351435979425,26.9631795466796,0.897771922673258
