"med.add","med.base","mean.GR.mean","mean.GR.sd","std.GR.mean","std.GR.sd","delta.GR.mean","delta.GR.sd","perc.change.mean","perc.change.sd"
"N","NL",0.19981681,0.01336173,0.014691179,0.008282207,0.09290476,0.01336173, 86.898311, 12.497876
"NP","NL",0.22874843,0.01129790,0.032852785,0.026725272,0.12183639,0.01129790,113.959453, 10.567468
"P","NL",0.14407426,0.02394307,0.016142718,0.014699111,0.03716221,0.02394307, 34.759610, 22.395107
"N","PL",0.20171094,0.01489279,0.015325105,0.006987101,0.03852152,0.01489279, 23.605404,  9.126074
"NP","PL",0.21561771,0.01594224,0.019363549,0.012384330,0.05242829,0.01594224, 32.127260,  9.769163
"P","PL",0.22176019,0.02650742,0.042775081,0.038349806,0.05857077,0.02650742, 35.891278, 16.243347
