"","diff","lwr","upr","p adj"
"N-C",0.0254830881000001,-0.0308102525251974,0.0817764287251975,0.618968361491128
"NP-C",0.0416625646,-0.0146307760251974,0.0979559052251975,0.209398599193828
"P-C",0.0585707686,0.00227742797480258,0.114864109225197,0.0388086202709692
"NP-N",0.0161794765,-0.0401138641251975,0.0724728171251974,0.865629064443552
"P-N",0.0330876805,-0.0232056601251975,0.0893810211251974,0.400799954940778
"P-NP",0.016908204,-0.0393851366251974,0.0732015446251975,0.849813269415351
